VID,SID,SUPPLIER_NAME,PROCUREMENT_BU,ADDRESS_NAME,SUPPLIER_SITE,INACTIVE_DATE,SOURCING_ONLY,PURCHASING,PROCUREMENT_CARD,PAY,PRIMARY_PAY,IT_REP_SITE,ALTERNATE_SITE_NAME,CUSTOMER_NUMBER,COMM_METHOD,EMAIL,FAX_AREA_CODE,FAX,HOLD_FLAG,HOLD_REASON,FREIGHT_TERMS,PAY_ON_RECEIPT,FOB,COUNTRY_OF_ORIGIN,DEFAULT_PAY_SITE,INVOICE_SUMMARY_LEVEL,GAPLESS_INVOICE_NUMBERING,SELLING_COMPANY_IDENTIFIER,INVOICE_CURRENCY,INVOICE_AMOUNT_LIMIT,INVOICE_MATCH_OPTION,PAYMENT_CURRENCY,PAYMENT_PRIORITY,PAY_GROUP,QUANTITY_TOLERANCES,AMOUNT_TOLERANCE,PAYMENT_HOLD_BY,PAYMENT_HOLD_DATE,PAYMENT_HOLD_REASON,PAYMENT_TERMS,TERMS_DATE_BASIS,PAY_DATE_BASIS,ALWAYS_TAKE_DISCOUNT,EXCLUDE_FREIGHT_FROM_DISCOUNT,CREATE_INTEREST_INVOICES,PAYMENT_METHOD,DELIVERY_CHANNEL,BANK_INSTRUCTION_1,BANK_INSTRUCTION_2,BANK_INSTRUCTION,SETTLEMENT_PRIORITY,PAYMENT_TEXT_MESSAGE_1,PAYMENT_TEXT_MESSAGE_2,PAYMENT_TEXT_MESSAGE_3,BANK_CHARGE_BEARER,PAYMENT_REASON,PAYMENT_REASON_COMMENTS,DELIVERY_METHOD,REMITTANCE_EMAIL,REMITTANCE_FAX,ATTRIBUTE_CATEGORY,ATTRIBUTE1,PAY_EACH_DOCUMENT_ALONE
1001,2001,CMS Derks Star Busmann N.V.,ResMed EPN,UTRECHT,UTRECHT,,,,Y,N,Y,N,Y,,,,,,,,,N,,,,,NL,,,,,N,,EUR,,P,EUR,99,EUR Prompt,,,,30 Days,Invoice,DUE,N,N,N,EFT,,,,,,,,,,,,,,,,,
1002,2002,Fisioair Srl,ResMed - Italy,Fisioair S.r.l.,Fisioair S.r.l.,,,,Y,N,Y,N,Y,,,,,,,,,N,,,,,IT,,,,,N,,EUR,,P,EUR,99,,,,,30 jours FM,Invoice,DUE,N,N,N,,,,,,,,,,,,,,,,,,
1003,2003,Prompt GmbH,ResMed EPN,BERLIN,BERLIN,,,,Y,N,Y,N,Y,,,,,,,,,N,,,,,DE,,,,,N,,EUR,,P,EUR,99,ZULIEFERER,,,,Sofort,Invoice,DUE,N,N,N,CHECK,,,,,,,,,,,,,,,,,
1004,2004,ResMed SAS,ResMed EPN,RESMED SAS EUR,RESMED SAS EUR,,,,Y,N,Y,N,Y,,,,,,,,,N,,,,,FR,,,,,N,,EUR,,P,EUR,99,EUR 30 Days,,,,30 TN,Invoice,DUE,N,N,N,eft,,,,,,,,,,,,,,,,,
1005,2005,Kamer van Koophandel Den Haag,ResMed EPN,DEN HAAG,DEN HAAG,,,,Y,N,Y,N,Y,,,,,,,,,N,,,,,NL,,,,,N,,EUR,,P,EUR,99,,,,,30 Days,Invoice,DUE,N,N,N,,,,,,,,,,,,,,,,,,
